TYPE,NORMAL,FIGHTING,FLYING,POISON,GROUND,ROCK,BUG,GHOST,STEEL,FIRE,WATER,GRASS,ELECTRIC,PSYCHIC,ICE,DRAGON,DARK,FAIRY,NONE
NORMAL,1,1,1,1,1,0.5,1,0,0.5,1,1,1,1,1,1,1,1,1,1
FIGHTING,2,1,0.5,0.5,1,2,0.5,0,2,1,1,1,1,0.5,2,1,2,0.5,1
FLYING,1,2,1,1,1,0.5,2,1,0.5,1,1,2,0.5,1,1,1,1,1,1
POISON,1,1,1,0.5,0.5,0.5,1,0.5,0,1,1,2,1,1,1,1,1,2,1
GROUND,1,1,0,2,1,2,0.5,1,2,2,1,0.5,2,1,1,1,1,1,1
ROCK,1,0.5,2,1,0.5,1,2,1,0.5,2,1,1,1,1,2,1,1,1,1
BUG,1,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,1,2,1,2,1,1,2,0.5,1
GHOST,0,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,0.5,1,1
STEEL,1,1,1,1,1,2,1,1,0.5,0.5,0.5,1,0.5,1,2,1,1,2,1
FIRE,1,1,1,1,1,0.5,2,1,2,0.5,0.5,2,1,1,2,0.5,1,1,1
WATER,1,1,1,1,2,2,1,1,1,2,0.5,0.5,1,1,1,0.5,1,1,1
GRASS,1,1,0.5,0.5,2,2,0.5,1,0.5,0.5,2,0.5,1,1,1,0.5,1,1,1
ELECTRIC,1,1,2,1,0,1,1,1,1,1,2,0.5,0.5,1,1,0.5,1,1,1
PSYCHIC,1,2,1,2,1,1,1,1,0.5,1,1,1,1,0.5,1,1,0,1,1
ICE,1,1,2,1,2,1,1,1,0.5,0.5,0.5,2,1,1,0.5,2,1,1,1
DRAGON,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,2,1,0,1
DARK,1,0.5,1,1,1,1,1,2,1,1,1,1,1,2,1,1,0.5,0.5,1
FAIRY,1,2,1,0.5,1,1,1,1,0.5,0.5,1,1,1,1,1,2,2,1,1
